Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location
02733a60efac4a04f814656b929d54d61ced46b8,bda723ff7d3238b616907b89512c7279801247b06581903556082767ad0e277669915c5e7a4b5f994b76aad0559230b2cee05ab633fd1ffbe84e3feed888f70d,11/30/2016 20:45,11/30/2016 21:00,480,1.6,,,,,$7.75 ,$3.00 ,$0.00 ,$0.00 ,$11.25 ,Credit Card,,,,,,,
0287c0760f74018d1ae648c781eaa8ea469f6e33,f760c301740afe577d6c0e2f6de2cfecccf6ede158b8a3825331005da37a008716599169f4b467bc8b88e65318b5008499ad0ea4e05a7465c6bce4a1d5e70350,11/29/2016 9:00,11/29/2016 9:15,720,2.4,,,,,$10.25 ,$0.00 ,$0.00 ,$0.00 ,$10.25 ,Cash,,,,,,,
0293412490307ff04212643278b89ff38ccd5aa7,395a9023e1143e800bfc686ebab1d46536a9490ced5ebca063db1bec5dbb8f8aad47d5f47ffb4d1abcd18584890256950d310d254c71678b5a7ef0ba986760db,11/28/2016 12:15,11/28/2016 12:30,240,0.8,,,,,$5.25 ,$3.00 ,$0.00 ,$0.00 ,$8.75 ,Credit Card,,,,,,,
02ca6368d0397872a39f9349a6c21c6cb2ee9288,38d9d0618cde52a194ab0d7c6617fcd4554809f368f1b5613bd3711c9a788aaf51bb44f70ce5beff146b1a0f3b04bfc3d56ed2e015f2abd257dce57f5ca63d75,11/26/2016 12:45,11/26/2016 12:45,360,1.4,,,,,$7.00 ,$1.11 ,$0.00 ,$2.00 ,$10.61 ,Credit Card,,,,,,,
051f1ce2e7fb7e4c49496c07a2320b37df1f91cb,e45a4dfa53b65fb37c627b50cb466d6c7b14f87c5d991aaf48c06e088f36d19ded2731a0a7ad955579cdb78b530d35298b2027c83d3e02c577b88369ea1cc02c,11/30/2016 12:45,11/30/2016 13:15,2160,17.6,17031320100,,32,,$43.50 ,$5.00 ,$0.00 ,$4.00 ,$53.00 ,Credit Card,,41.88498719,-87.62099291,POINT (-87.620993 41.884987),,,
05a65c28f91b77bf55708546986723f3f5e61a11,00f4ffdbb88c4f0d1803d2b2b35f3bf2fed11c109a80786ccf59d71eeb6decafc2381b6ca429e22770197ba9308c7469630c76abb91df07f7aedb37abb30d275,11/24/2016 1:30,11/24/2016 1:30,300,1.1,,,,,$6.50 ,$1.00 ,$0.00 ,$2.00 ,$10.00 ,Credit Card,,,,,,,
000b355bc3f82013fc6aa40db3b52a6418804691,2561cc3969ee030b1c9135851c06300316722b56d56e6bbbe1854fbfa53dddda572f1d88f0a35752433b7ab34cef92cbe5f7a9f79b0d640bf5aa12d4b27eefd2,11/29/2016 6:45,11/29/2016 6:45,780,3.3,,,,,$12.25 ,$1.75 ,$0.00 ,$0.00 ,$14.50 ,Credit Card,,,,,,,
00002ce29f00e1bd801b49216e713327084fc27b,025c4a64d4348a8184bbf4109fea03a717b87f48029d951bfb60d61d5ccb0266fbfd36e5eab6d226d993d1dd8a75ab3fbe2d161dba808d49c8b42e4ec4fc5d04,11/25/2016 15:30,11/25/2016 15:45,1020,4,,,21,24,$13.75 ,$0.00 ,$0.00 ,$0.00 ,$13.75 ,Cash,,41.9386662,-87.71121059,POINT (-87.711211 41.938666),41.90120699,-87.67635599,POINT (-87.676356 41.901207)
000037783f7b5e8f7314d0e83139012f3804d7a6,3f93994ef3cdb724aff369e43ae240831448bde4e0193b657e533e2dac69a98620e6de72fbb5c6d371b92c9549db06c9b2aedf819d428e8a3af4e774fdcc258b,11/29/2016 16:30,11/29/2016 16:45,720,1.3,17031080100,17031320100,8,32,$8.25 ,$0.00 ,$0.00 ,$0.00 ,$8.25 ,Cash,,41.90752008,-87.6266589,POINT (-87.626659 41.90752),41.88498719,-87.62099291,POINT (-87.620993 41.884987)
0000378609be96b751ef2a478a1e82aafb0c3154,a81b8e1303d8e30de7be1ee706eab3a63f0c5746430497c6afc5409f179e884f02e7b66fdcff94ea646802f90e97a18c79ca710278a40b9ff1acfa4be8c214e0,11/28/2016 13:45,11/28/2016 13:45,360,0.9,17031081300,17031080201,8,8,$6.00 ,$0.00 ,$0.00 ,$0.00 ,$6.00 ,Cash,,41.89833179,-87.62076287,POINT (-87.620763 41.898332),41.90949567,-87.6309636,POINT (-87.630964 41.909496)
00005f0540e77816661f798467e352510cf41f19,c94e2ee426de76dd2ae4a771d21eb56883b0be25e5b7ad78acceee592545d9d4dc79deebb42bba3f4668179361906ed3bdf4a68a7214318bccddc068e586e33d,11/24/2016 15:15,11/24/2016 15:30,720,5.7,,,8,22,$16.75 ,$0.00 ,$0.00 ,$0.00 ,$16.75 ,Cash,Choice Taxi Association,41.89960211,-87.63330804,POINT (-87.633308 41.899602),41.92276062,-87.69915534,POINT (-87.699155 41.922761)
0000e6077f96b91904dfe65ada1134292f5682b5,139faf6d73880dc09d95788e725f40623e56ff39dfe6d32e2484fc5215488bde8a763a5b46d6cdc9bb5838416ce11fe93bc7a0c44ba55c54e09507913c36af70,11/29/2016 19:45,11/29/2016 20:00,840,2.9,17031841000,17031081403,33,8,$11.50 ,$2.30 ,$0.00 ,$0.00 ,$13.80 ,Credit Card,Dispatch Taxi Affiliation,41.84924675,-87.6241353,POINT (-87.624135 41.849247),41.89092203,-87.61886836,POINT (-87.618868 41.890922)
0001732f1c50fee67d3206d31cad1f40afad41b6,1bb291b27cad860cc5e09ee3aea1261128edd297b00374adfcc6e40321f6310ee5b8472821d03d84ae58d1c7773410fd3c81cafd92ff2f3a1534df351322a0a5,11/28/2016 13:00,11/28/2016 13:00,300,0.9,,,8,8,$5.75 ,$0.00 ,$0.00 ,$0.00 ,$5.75 ,Cash,,41.89960211,-87.63330804,POINT (-87.633308 41.899602),41.89960211,-87.63330804,POINT (-87.633308 41.899602)
0001b047e43f1b9e2d4efa0a028a437827e8f7ef,4e1cc47be197da1762ea9877e4b007495e43e8233dd5840fddbbea8030ec1d3c27f71ea3569542ec0e9f30f7a01c6a35423c8aadaaa3c0edb82383d68eafa390,11/30/2016 20:15,11/30/2016 20:30,540,1.6,17031320600,17031081500,32,8,$8.25 ,$0.00 ,$0.00 ,$0.00 ,$8.25 ,Cash,,41.87060737,-87.62217294,POINT (-87.622173 41.870607),41.89250778,-87.62621491,POINT (-87.626215 41.892508)
0001d295d090c931432c323fe2fc6f992d4afe12,47d8d6b084ef2deb67fdf77017136e1c46e1b14653bd3be838b9014a75a47725a27f2ac4c9fccd24e80f7bb4311eadd8559e7fd1eee2f6d80e83bae8de695d7e,11/27/2016 11:30,11/27/2016 11:30,300,0,17031320400,17031081403,32,8,$6.00 ,$0.00 ,$0.00 ,$1.00 ,$7.00 ,Cash,Taxi Affiliation Services,41.87740612,-87.62197165,POINT (-87.621972 41.877406),41.89092203,-87.61886836,POINT (-87.618868 41.890922)
0001efb5e42fa7b8a8d68b6799b50eac6c4fff73,3a02f2544f0f22617df502d1af546a9292f20da505d4498eba78528d6cb3c40ffdc85e464b7a9a4ddca11db94e46e6340ce47d718730a0156c5a95d71b7b23a4,11/26/2016 20:15,11/26/2016 20:15,720,0.1,17031081600,17031081000,8,8,$9.00 ,$0.00 ,$0.00 ,$1.50 ,$10.50 ,Cash,Taxi Affiliation Services,41.89207264,-87.62887416,POINT (-87.628874 41.892073),41.90026569,-87.63210922,POINT (-87.632109 41.900266)
000217bb745a36b8848410d6cce209b44f546ac2,40aed61177db25fbb6eea25b46c3f674ddbd7d42d93e6fcbb52f1f883d4449f09921023ad1cabe4aa9470da219e384660c3ab85568d9d21fea47d6877f406046,11/28/2016 12:45,11/28/2016 12:45,360,1,17031320100,17031081402,32,8,$6.50 ,$2.00 ,$0.00 ,$0.00 ,$8.50 ,Credit Card,Northwest Management LLC,41.88498719,-87.62099291,POINT (-87.620993 41.884987),41.89197151,-87.61294541,POINT (-87.612945 41.891972)
00023f960ec3a385f84edc6474e302f5adfe5c5d,b0f4966a7a652995c265e8bd0611316732b732c0aeffe635440e1e9f988a3a209cf43efe14591256e35dd8e98f4008cf1b65d6598bb40e4efcc86b97b082d937,11/28/2016 10:00,11/28/2016 10:15,960,2.9,17031320100,17031330100,32,33,$12.25 ,$0.00 ,$0.00 ,$0.00 ,$12.25 ,Cash,Taxi Affiliation Services,41.88498719,-87.62099291,POINT (-87.620993 41.884987),41.85934972,-87.61735801,POINT (-87.617358 41.85935)
0002d7810e9213c818df66e628900094b3dfb08e,19115939d528111c8de7a409abaccdbb6543d70febf17ad238d21450dd6db76f66b4da395d61a808a9a43ffc9b6b1f4cbf09ac4c2fdec9868a5d5ad1032c3d1d,11/29/2016 19:30,11/29/2016 19:30,120,0.6,17031839100,17031839100,32,32,$4.50 ,$0.00 ,$0.00 ,$0.00 ,$4.50 ,Cash,,41.88099447,-87.63274649,POINT (-87.632746 41.880994),41.88099447,-87.63274649,POINT (-87.632746 41.880994)
00032faa4a9ff05aaca16842843ec4a1556bcc7f,df1047690171041466915ee430950774c52ce26e7bbdec75ec2c401514190bd531a130002c63161d5401ab50cd3427b28c0625badf0e48d1687b05477f4dc00f,11/28/2016 15:45,11/28/2016 15:45,180,0.4,17031081403,17031081403,8,8,$4.50 ,$0.00 ,$0.00 ,$0.00 ,$4.50 ,Cash,,41.89092203,-87.61886836,POINT (-87.618868 41.890922),41.89092203,-87.61886836,POINT (-87.618868 41.890922)
000408319a78071481728b9eb966252644a79e3e,c919d98199b7fa55523eb8ce4107c36f03abc8e907d29b05411c313cceb5a9dfd0b5f5df8ed20bdc9f6dc8b141163a1c03b1d841a1d37e7e8facfdf028cca13a,11/26/2016 23:00,11/26/2016 23:00,420,0.7,17031081403,17031081201,8,8,$5.75 ,$2.00 ,$0.00 ,$0.00 ,$8.25 ,Credit Card,,41.89092203,-87.61886836,POINT (-87.618868 41.890922),41.89915561,-87.62621053,POINT (-87.626211 41.899156)
00046ce58748d3b2fd2ccc77462e18541fd4b592,800514cef2fedac7b982b2ba503909e4d30295b46723c36c54ff17f88090bada9f62e90c7e8825fa792ebfdac83cb19e66e8b2bc21ed7e643f45b3db82b2c94f,11/28/2016 19:00,11/28/2016 19:00,540,1.6,17031081500,17031320600,8,32,$8.25 ,$3.00 ,$0.00 ,$0.00 ,$11.75 ,Credit Card,,41.89250778,-87.62621491,POINT (-87.626215 41.892508),41.87060737,-87.62217294,POINT (-87.622173 41.870607)
0004a5feb93c942b2748ef529f4667a108ae8062,c49f0ddc62fe52ff6d19832b7168a6818f17d8ccb7f59a3ccd0780f33a0df1056e0055ab7f85477a0cd90c279506e0d1317a5d4a3ea959ae24eb1b25f476674d,11/27/2016 3:30,11/27/2016 3:45,660,5,17031080300,17031060500,8,6,$14.75 ,$0.00 ,$0.00 ,$2.50 ,$17.25 ,Cash,Taxi Affiliation Services,41.90749193,-87.63576009,POINT (-87.63576 41.907492),41.95271911,-87.6605035,POINT (-87.660504 41.952719)
0004fdd23692893c7b8e990e7e4c886483418e78,f621299fa67bd8263e781be39bd954acda79ca9c95884949a24a35f09eec2160377ccf61c4a510b49b3fa6e40de8259c40d6f34611ef283976cb3b8cf8985bc0,11/25/2016 17:15,11/25/2016 17:15,600,1.9,,,,,$8.75 ,$0.00 ,$0.00 ,$2.00 ,$10.75 ,Cash,,,,,,,
000529048fcd270cc150f44946b3ec42d43460b2,3d183bed1b49fe5790ecd06dbc761e50c0407e2949fd748ab6b86c6663de6ec10bb57fce54e5615c8fbf008020f04fda6efd6076432ea8adc0abb8f9ad9d4def,11/29/2016 9:45,11/29/2016 10:15,1980,3.3,17031081500,17031841000,8,33,$17.50 ,$4.50 ,$0.00 ,$0.00 ,$22.50 ,Credit Card,,41.89250778,-87.62621491,POINT (-87.626215 41.892508),41.84924675,-87.6241353,POINT (-87.624135 41.849247)
0005ecf0c0c3b4ba21403ada0b7a2fefc4bd038f,f079326e91f3293e6376e27666a6b16ebc93924d29469b3fcbe254c5077f78d9465763e1fb88e5625f11ed8ed94ea518204b7fa22c5d7245128fc2a0e7a16e6c,11/29/2016 20:00,11/29/2016 20:15,840,1.6,17031320100,17031320600,32,32,$9.50 ,$0.00 ,$0.00 ,$0.00 ,$9.50 ,Cash,Dispatch Taxi Affiliation,41.88498719,-87.62099291,POINT (-87.620993 41.884987),41.87060737,-87.62217294,POINT (-87.622173 41.870607)
0005f20e4dafd19d0ca722fc6bf2faaa9bb93c7c,93816bb2c2c7ea5d8c849cb02fc6fd3fac15aa07d8be71f0118cadc0c0e0bf629a12a477ec876416e5f9985f12ad6cf52dfbcae902c910dae83ae6f6b3b17602,11/26/2016 22:45,11/26/2016 22:45,720,0,17031081600,17031320400,8,32,$7.75 ,$0.00 ,$0.00 ,$0.00 ,$7.75 ,Cash,Blue Ribbon Taxi Association Inc.,41.89207264,-87.62887416,POINT (-87.628874 41.892073),41.87740612,-87.62197165,POINT (-87.621972 41.877406)
00060bbcf957164b47a643b5df92a1fdde5fcc91,4e49ee95af4021afdaf6daf1ab1c5aacf9ad1b69cdd1cb930dad3b02db6ee26e865d648c7b09ef2288e26c47556f7642963a98fdcb1c0df894d766fd44ddbee0,11/25/2016 14:45,11/25/2016 15:15,1440,10.1,,,76,,$27.75 ,$8.18 ,$0.00 ,$5.00 ,$41.43 ,Credit Card,,41.98026432,-87.9136246,POINT (-87.913625 41.980264),,,
000668262341974dbd31fa8a668f722b90c346d6,9471c40586934de670ca3ac8879a0486504d62d21c68a77245073027fd8933b0e2f188eea803086eb35c3e2619d62ddfa9b1358f1f2404897f1d501c2a0974fd,11/26/2016 16:30,11/26/2016 16:45,842,3.62,17031081403,17031071400,8,7,$12.75 ,$0.00 ,$0.00 ,$1.00 ,$13.75 ,Cash,,41.89092203,-87.61886836,POINT (-87.618868 41.890922),41.92208254,-87.63415609,POINT (-87.634156 41.922083)
00066ee5401e099f2191d288ea7eb5f97ce7c517,27ef2a790544b79bdd9b6ff94a5b0ccf3093ca925864531c6b3947c80db88016cfbf2e5d8d2d50e2430bba6f7e2e5ca3c8d2d25fce6e49838fdee5c3cb29da41,11/26/2016 22:15,11/26/2016 22:30,660,0,,,32,24,$13.75 ,$0.00 ,$0.00 ,$1.00 ,$14.75 ,Cash,Blue Ribbon Taxi Association Inc.,41.87886558,-87.62519214,POINT (-87.625192 41.878866),41.90120699,-87.67635599,POINT (-87.676356 41.901207)
000678db07b517c1b1dd5ff45ad891424eaf21eb,8f46e1c3b98d33dc946bb70a33d138c1d4414f3723aceb0621f98292f2f2ffa3ac0d5f4949828c9b035a1c4dcfe8ac47fcfb8354d7d507fab23f8699594d293e,11/28/2016 14:30,11/28/2016 14:30,10,0.01,17031980100,17031980100,56,56,$3.25 ,$0.00 ,$0.00 ,$0.00 ,$3.25 ,Cash,,41.78599852,-87.75093429,POINT (-87.750934 41.785999),41.78599852,-87.75093429,POINT (-87.750934 41.785999)
000687dd69ea3c7cb691c12721e8c969df5786c2,8d132c5bd37555cd3f3833a40d6fd6a1be611b8f8de1115a072fffc9ae920b431134d8b2c311207a43f23e6ca9b5a0d8d0ef835eb89d1aa587fb28854b7f9c4f,11/29/2016 19:00,11/29/2016 19:15,1320,4.5,,,32,28,$16.00 ,$4.00 ,$0.00 ,$0.00 ,$20.00 ,Credit Card,Taxi Affiliation Services,41.87886558,-87.62519214,POINT (-87.625192 41.878866),41.87400538,-87.66351755,POINT (-87.663518 41.874005)
0006b1cbbe65bf1361d8cf80d9d5f4d1bb956e07,add231cd28a10bad404a28e49708e6dae667fccd04ca4b2969ca0691717c4636d1cbdc88c780cd2b1664e6bc18b7225dc0f1d2967410fb0f9f1210ef6e75cbd5,11/28/2016 15:45,11/28/2016 15:45,120,0.5,17031839100,17031281900,32,28,$4.50 ,$0.00 ,$0.00 ,$0.00 ,$4.50 ,Cash,Dispatch Taxi Affiliation,41.88099447,-87.63274649,POINT (-87.632746 41.880994),41.87925508,-87.642649,POINT (-87.642649 41.879255)
0006b83cbd1f8ac9dc16d5753dade14d4b9b8792,2981edd199f55bdc8b5ed188de69e9f5d8116ae8d7a434fa0574d57740840e697755e4e77bb4ce8265289b6548d53674a5ac16dde44c3cf653e3ce1c8e064265,11/28/2016 10:00,11/28/2016 10:15,240,0.8,17031281900,17031841900,28,28,$5.25 ,$0.00 ,$0.00 ,$0.00 ,$5.25 ,Cash,,41.87925508,-87.642649,POINT (-87.642649 41.879255),41.86790242,-87.64295867,POINT (-87.642959 41.867902)
0006fc1068f9da9bab80aa3d73a72148880ce309,f98ae5e71fdda8806710af321dce58002146886c013f411be2cd336e0c224e78ed85626eeee462f0d1f5e6b29a030514b95f7b1b8ca59888a10b52dfe55ddf99,11/30/2016 14:30,11/30/2016 14:45,1440,13.2,,,6,41,$34.50 ,$0.00 ,$0.00 ,$0.00 ,$34.50 ,Cash,,41.9442266,-87.65599818,POINT (-87.655998 41.944227),41.79409025,-87.59231086,POINT (-87.592311 41.79409)
00073f8be0ee18c5ed0038453b8fe3f445b9d1ca,c9e7ce96e0488a46427beabe8786e3d09e5b19c337b23d363c6d2079f146c3ab216d419acd4d953ce31d9745504e429301c58b98d0a1604d369bb7b032b3ffee,11/28/2016 8:30,11/28/2016 8:45,540,0.1,17031320600,17031330100,32,33,$8.25 ,$3.00 ,$0.00 ,$0.00 ,$11.25 ,Credit Card,Taxi Affiliation Services,41.87060737,-87.62217294,POINT (-87.622173 41.870607),41.85934972,-87.61735801,POINT (-87.617358 41.85935)
00077f24b2c77524c28d721af9e0af9cea37cbc2,2ac1345b1d51e156d379f3d68fbce527f896642a8464164299cd9511dcf73aabd4852709c0a32b4182e4b1f3a0917c09fc088b1fdbe2c06fa01ccd02f6a84fa3,11/25/2016 9:15,11/25/2016 9:30,300,0.9,,,32,28,$5.75 ,$0.00 ,$0.00 ,$0.00 ,$5.75 ,Credit Card,Taxi Affiliation Services,41.87886558,-87.62519214,POINT (-87.625192 41.878866),41.87400538,-87.66351755,POINT (-87.663518 41.874005)
0007cc51490f6eff6ca1c1176aa2bb92b6d22c12,196d0cab116da01f1cb8685842d0ce1052d6e0b368d7d5cd560154f6d7a7f0b94903fbd090629f3172f2103f9b3eaf359d0024e4c29007ab571c961ee2241f67,11/29/2016 13:15,11/29/2016 13:30,480,0,17031839100,17031081402,32,8,$7.75 ,$2.00 ,$0.00 ,$0.00 ,$9.75 ,Credit Card,Taxi Affiliation Services,41.88099447,-87.63274649,POINT (-87.632746 41.880994),41.89197151,-87.61294541,POINT (-87.612945 41.891972)
0007e296bca261ef21328718ee900dbe3cb2383e,dc45a54b6ba04f8e92435b925b709a1c6ba222f9f9c30222341a154819e30249625301d34e0b56a9af5a2cbd8d5694844069c5bf199c920b3776f6a21cca2b17,11/28/2016 7:15,11/28/2016 7:30,240,0.6,17031280100,17031081800,28,8,$5.00 ,$0.00 ,$0.00 ,$0.00 ,$5.00 ,Cash,,41.88530002,-87.64280847,POINT (-87.642808 41.8853),41.89321636,-87.63784421,POINT (-87.637844 41.893216)
00080f720e06e97a53fd388c6ad1aa9ef9e9f134,90759751e90b9b9dc0b23f01716b516225af3458fc92daa0c63cb64882aef87f44d004622ef7cfe3eb0fe9f2ff9e57eb52e66c350e15119e76eb034f6158c155,11/29/2016 7:45,11/29/2016 8:00,300,0,17031081402,17031839100,8,32,$7.00 ,$0.00 ,$0.00 ,$0.00 ,$7.00 ,Cash,Dispatch Taxi Affiliation,41.89197151,-87.61294541,POINT (-87.612945 41.891972),41.88099447,-87.63274649,POINT (-87.632746 41.880994)
0008f2fb64fc1531e82a4c2d2fd1a33488d5f8a6,b329626db30d23db0e6620de7d1a3036dd3c2ca3e139fd4fda43a3c10b91d800bdb1b79af04a9b1232d02cbea0283068ab495f324ba54b8c05105b68f6e2825e,11/26/2016 12:00,11/26/2016 12:15,420,3.4,,,7,8,$10.75 ,$0.00 ,$0.00 ,$1.00 ,$11.75 ,Cash,Dispatch Taxi Affiliation,41.92268628,-87.64948873,POINT (-87.649489 41.922686),41.89960211,-87.63330804,POINT (-87.633308 41.899602)
00097d13f4775fd377889722681d338ea99424e7,6d54d44f2f1efbae655ecdd87c179aef972a641d5cb08ada6842bb2614de30ae68e187e859904106147db52ed276392cacaef560a619afd63da5e8b1df6dd1f4,11/27/2016 18:45,11/27/2016 19:15,2220,17,17031980000,17031320100,76,32,$43.00 ,$9.40 ,$0.00 ,$4.00 ,$56.40 ,Credit Card,KOAM Taxi Association,41.97907082,-87.90303966,POINT (-87.90304 41.979071),41.88498719,-87.62099291,POINT (-87.620993 41.884987)
0009997bfd6a4810908ca0d6a911e22e446764c9,62d7a2f3418a6b4f4899598f5a4d5bf0b372e8bf3ea61a380c90366086d54df1ab6deae853f76045db73d25871fb093abab7ace95e197a7ee6b683403ada3bcd,11/30/2016 12:15,11/30/2016 12:30,540,2.1,17031320400,17031833000,32,28,$9.00 ,$2.00 ,$0.00 ,$0.00 ,$11.50 ,Credit Card,,41.87740612,-87.62197165,POINT (-87.621972 41.877406),41.88528132,-87.6572332,POINT (-87.657233 41.885281)
0009a1b860f798fbb813461aff20afb8f578fc48,07fa696842b49d5742b2638d5b08bb26eafa3d780b52373314a01823151dc4950955969fefc19ba75ff6bcf5483dcf4d134df78a4c0365092f8e88a8ac292d2b,11/27/2016 0:30,11/27/2016 0:30,420,1.1,17031320100,17031081700,32,8,$6.75 ,$1.00 ,$0.00 ,$1.00 ,$9.25 ,Credit Card,,41.88498719,-87.62099291,POINT (-87.620993 41.884987),41.89204214,-87.63186395,POINT (-87.631864 41.892042)
0009cae4cb3c26643832724cb4839fc265d2f5d4,d227267f2ecc06b906db9813671d5c14b2ca025df56515ac2b4b04392cd8c85131cbc127ed096ddb1a3390e8134e44a34c4ba6f5084bad5a54fd0dd653cb6888,11/26/2016 2:00,11/26/2016 2:00,420,3.05,,,,,$10.75 ,$0.00 ,$0.00 ,$1.00 ,$11.75 ,Cash,,,,,,,
0009cbfe21f4f2a27b68d22180739a21deeb13af,35b81d25f9e3f38374fc15fd3f76084311a7ab45e64ab70820bd570b6fedb05f275401926a3d47e640849a0161683668e04bc198a45bdc07fdd7afe96b28d518,11/26/2016 22:00,11/26/2016 22:00,420,1.2,,,77,77,$6.50 ,$0.00 ,$0.00 ,$0.00 ,$6.50 ,Cash,,41.9867118,-87.66341641,POINT (-87.663416 41.986712),41.9867118,-87.66341641,POINT (-87.663416 41.986712)
000a4604f85467b7c19edf827729b2b9f77f3532,2aae2633044e6bb278458fd9496d6ceb42b42983f0246234c2208ae1614a8631f23d0d12d761a2878253e08da5050718caea3c76c69a2bd04734f1917cfb12e1,11/30/2016 17:30,11/30/2016 17:45,1440,3,,,32,24,$13.00 ,$0.00 ,$0.00 ,$0.00 ,$13.00 ,Cash,Choice Taxi Association,41.87886558,-87.62519214,POINT (-87.625192 41.878866),41.90120699,-87.67635599,POINT (-87.676356 41.901207)
